	g-C3N4-TiO2/water	PhCN-TiO2/Ethanol	PhCN-TiO2/water			
800	0.07333	0.0733319	0.073329			
799.5	0.072203	0.074369	0.071676			
799	0.073591	0.074493	0.070925			
798.5	0.073434	0.074843	0.073543			
798	0.071043	0.0723716	0.07106			
797.5	0.072213	0.074423	0.070847			
797	0.071818	0.07524	0.072291			
796.5	0.075668	0.074838	0.073365			
796	0.072381	0.075551	0.073152			
795.5	0.07553	0.076064	0.073079			
795	0.074053	0.0733166	0.073108			
794.5	0.070018	0.074402	0.071104			
794	0.074725	0.077097	0.076518			
793.5	0.072489	0.075541	0.073929			
793	0.072842	0.07578	0.073727			
792.5	0.072733	0.075954	0.073572			
792	0.073101	0.07542	0.074599			
791.5	0.0741	0.076686	0.074387			
791	0.074525	0.076046	0.071424			
790.5	0.072789	0.076262	0.073153			
790	0.073021	0.076438	0.075366			
789.5	0.074283	0.074991	0.073557			
789	0.074835	0.078691	0.075088			
788.5	0.070957	0.074595	0.072873			
788	0.070279	0.0731783	0.072107			
787.5	0.073575	0.077331	0.075172			
787	0.073065	0.075834	0.074524			
786.5	0.073009	0.075498	0.072114			
786	0.07298	0.076327	0.074174			
785.5	0.072276	0.076642	0.074384			
785	0.074556	0.077612	0.072974			
784.5	0.069359	0.075738	0.073412			
784	0.073105	0.078038	0.075438			
783.5	0.07092	0.07551	0.073724			
783	0.074433	0.079151	0.077123			
782.5	0.073157	0.07667	0.076107			
782	0.074272	0.077631	0.074017			
781.5	0.072918	0.077546	0.075886			
781	0.073382	0.07762	0.073676			
780.5	0.07381	0.079502	0.074684			
780	0.072246	0.077237	0.073066			
779.5	0.071802	0.07655	0.074705			
779	0.073277	0.078084	0.073147			
778.5	0.074529	0.078644	0.07433			
778	0.072035	0.077189	0.07418			
777.5	0.072341	0.075985	0.072503			
777	0.071485	0.077625	0.072832			
776.5	0.07305	0.07873	0.07382			
776	0.072665	0.080771	0.076146			
775.5	0.073967	0.07709	0.074801			
775	0.07441	0.078441	0.077928			
774.5	0.073322	0.077464	0.075636			
774	0.073734	0.0798	0.075461			
773.5	0.071284	0.078282	0.075385			
773	0.072361	0.078605	0.072291			
772.5	0.072473	0.077747	0.073621			
772	0.071653	0.077878	0.073806			
771.5	0.073027	0.078644	0.075348			
771	0.072442	0.07967	0.076286			
770.5	0.071394	0.079358	0.074549			
770	0.072674	0.079775	0.076858			
769.5	0.073282	0.079584	0.07578			
769	0.071152	0.08016	0.075753			
768.5	0.072339	0.079761	0.074156			
768	0.072251	0.078989	0.075941			
767.5	0.072077	0.078447	0.07449			
767	0.073015	0.08043	0.076826			
766.5	0.072397	0.081143	0.075517			
766	0.072131	0.080298	0.077262			
