	phcn		gc3n4			
800	0.07333	800	0.106085523698475			
799.5	0.07437	799.5	0.104344177985583			
799	0.07449	799	0.101466335477767			
798.5	0.07484	798.5	0.103911771045661			
798	0.07237	798	0.107553016504954			
797.5	0.07442	797.5	0.108937904974633			
797	0.07524	797	0.10818086733107			
796.5	0.07484	796.5	0.106068163767799			
796	0.07555	796	0.102711910503771			
795.5	0.07606	795.5	0.107580937060125			
795	0.07332	795	0.107744843738924			
794.5	0.0744	794.5	0.105505702013897			
794	0.0771	794	0.105126676860804			
793.5	0.07554	793.5	0.106337387359366			
793	0.07578	793	0.104067576423478			
792.5	0.07595	792.5	0.104857163937059			
792	0.07542	792	0.107638369497444			
791.5	0.07669	791.5	0.105804148155435			
791	0.07605	791	0.106368779900672			
790.5	0.07626	790.5	0.10197975542751			
790	0.07644	790	0.105445810253064			
789.5	0.07499	789.5	0.104370941212041			
789	0.07869	789	0.107282780250764			
788.5	0.0746	788.5	0.106176084670169			
788	0.07318	788	0.105240529072821			
787.5	0.07733	787.5	0.107913524398659			
787	0.07583	787	0.105908307739491			
786.5	0.0755	786.5	0.10671771450726			
786	0.07633	786	0.103428296976334			
785.5	0.07664	785.5	0.106284150238627			
785	0.07761	785	0.104261139650516			
784.5	0.07574	784.5	0.106422885017946			
784	0.07804	784	0.104709315194135			
783.5	0.07551	783.5	0.106432722311996			
783	0.07915	783	0.106995328731987			
782.5	0.07667	782.5	0.105251089697315			
782	0.07763	782	0.105712285188941			
781.5	0.07755	781.5	0.107311134804202			
781	0.07762	781	0.105575431068779			
780.5	0.0795	780.5	0.106275904271556			
780	0.07724	780	0.108234827782254			
779.5	0.07655	779.5	0.105138973478366			
779	0.07808	779	0.104154520742947			
778.5	0.07864	778.5	0.107840902021998			
778	0.07719	778	0.107970378171623			
777.5	0.07599	777.5	0.10959078303414			
777	0.07763	777	0.104286456216085			
776.5	0.07873	776.5	0.106133986838279			
776	0.08077	776	0.106910409737764			
775.5	0.07709	775.5	0.103500051356462			
775	0.07844	775	0.105292174866582			
774.5	0.07746	774.5	0.103543885181419			
774	0.0798	774	0.104865120571952			
773.5	0.07828	773.5	0.103014841294067			
773	0.07861	773	0.105496443384203			
772.5	0.07775	772.5	0.103828588044505			
772	0.07788	772	0.106495218062429			
771.5	0.07864	771.5	0.101926662972859			
771	0.07967	771	0.103318640080897			
770.5	0.07936	770.5	0.107131459521705			
770	0.07978	770	0.106344186665548			
769.5	0.07958	769.5	0.103859980585811			
769	0.08016	769	0.104853257952657			
768.5	0.07976	768.5	0.106793519537879			
768	0.07899	768	0.106394964462775			
767.5	0.07845	767.5	0.102928186306776			
767	0.08043	767	0.105237635751041			
766.5	0.08114	766.5	0.102705255863678			
766	0.0803	766	0.103400521087252			
765.5	0.08082	765.5	0.10114387476546			
765	0.07787	765	0.102889705127111			
764.5	0.08122	764.5	0.105390981805346			
764	0.08104	764	0.103504970003486			
763.5	0.07965	763.5	0.106536303231696			
763	0.07991	763	0.105978615458729			
762.5	0.08179	762.5	0.106371239224185			
762	0.07945	762	0.106191419275599			
761.5	0.08136	761.5	0.104347505305629			
761	0.08265	761	0.10450273201909			
760.5	0.08077	760.5	0.103640956127115			
760	0.08088	760	0.105682049976347			
759.5	0.08124	759.5	0.103534915883903			
759	0.08234	759	0.103895857775875			
758.5	0.07923	758.5	0.104157992729082			
758	0.08449	758	0.105483857434463			
757.5	0.08215	757.5	0.105804148155435			
757	0.08336	757	0.102603989601402			
756.5	0.08182	756.5	0.103024678588117			
756	0.08465	756	0.101198413881001			
755.5	0.08385	755.5	0.106790915548277			
755	0.08186	755	0.102447171560962			
754.5	0.08323	754.5	0.103549093160621			
754	0.0817	754	0.104890292471432			
753.5	0.08395	753.5	0.104781937570796			
753	0.08143	753	0.105437274953815			
752.5	0.08453	752.5	0.103883705824401			
752	0.08278	752	0.10584407599599			
751.5	0.08347	751.5	0.103994375382461			
751	0.08299	751	0.104839659340294			
750.5	0.08367	750.5	0.104078281714062			
750	0.08383	750	0.104064683101699			
749.5	0.08517	749.5	0.107028746598539			
749	0.08408	749	0.103748732363395			
748.5	0.08261	748.5	0.101708651176786			
748	0.08643	748	0.104164068704819			
747.5	0.08343	747.5	0.105359733930129			
747	0.08366	747	0.108553671842337			
746.5	0.08532	746.5	0.103555892466803			
746	0.08466	746	0.10457419706704			
745.5	0.08506	745.5	0.1074121117343			
745	0.08504	745	0.10496334884636			
744.5	0.08615	744.5	0.10516356671349			
744	0.08486	744	0.104649568099391			
743.5	0.08479	743.5	0.104388445808806			
743	0.08438	743	0.106523283283689			
742.5	0.08625	742.5	0.103425982318911			
742	0.08421	742	0.104779044249017			
741.5	0.0857	741.5	0.104889279808809			
741	0.08491	741	0.105246894380735			
740.5	0.08722	740.5	0.105369860556357			
740	0.08503	740	0.10537781719125			
739.5	0.08507	739.5	0.106030116586401			
739	0.08532	739	0.104812896113835			
738.5	0.08538	738.5	0.105839302015054			
738	0.08566	738	0.102477406773556			
737.5	0.08735	737.5	0.10235776791798			
737	0.0863	737	0.10085121526748			
736.5	0.08448	736.5	0.106242341738915			
736	0.08509	736	0.103563125771251			
735.5	0.08665	735.5	0.104198065235726			
735	0.0863	735	0.104485516754503			
734.5	0.08599	734.5	0.104804071482408			
734	0.0868	734	0.107776380946319			
733.5	0.08823	733.5	0.104784830892575			
733	0.087	733	0.104344611983849			
732.5	0.08608	732.5	0.105546497850985			
732	0.08786	732	0.104375859859066			
731.5	0.08674	731.5	0.102487822731961			
731	0.08661	731	0.105393875127125			
730.5	0.08801	730.5	0.104572027075705			
730	0.08756	730	0.105286532889112			
729.5	0.087	729.5	0.100613094885041			
729	0.08852	729	0.105473730808235			
728.5	0.08734	728.5	0.106124004878141			
728	0.08973	728	0.106436049632042			
727.5	0.08792	727.5	0.105651959429842			
727	0.08813	727	0.105310402793792			
726.5	0.0887	726.5	0.103259182318332			
726	0.08766	726	0.105545195856185			
725.5	0.08849	725.5	0.10599380539807			
725	0.08862	725	0.10597427547606			
724.5	0.09055	724.5	0.104332315366287			
724	0.0888	724	0.107833813383639			
723.5	0.08899	723.5	0.105014849974032			
723	0.09048	723	0.105251668361671			
722.5	0.08748	722.5	0.1054492822392			
722	0.09066	722	0.10211270356327			
721.5	0.08898	721.5	0.10387965517391			
721	0.08992	721	0.104939189609503			
720.5	0.08966	720.5	0.105049425169296			
720	0.09206	720	0.106156554748158			
719.5	0.091	719.5	0.10737999586255			
719	0.09141	719	0.106004944686921			
718.5	0.08951	718.5	0.106549612511881			
718	0.09222	718	0.106538328556941			
717.5	0.09099	717.5	0.104077269051439			
717	0.09231	717	0.107003140700791			
716.5	0.09061	716.5	0.105894853793217			
716	0.09099	716	0.105983968104021			
715.5	0.09199	715.5	0.104619911551153			
715	0.09115	715	0.106756629685192			
714.5	0.09238	714.5	0.105323712073976			
714	0.09158	714	0.10362634485213			
713.5	0.09013	713.5	0.106964804187215			
713	0.09102	713	0.107096884326442			
712.5	0.09198	712.5	0.107151568108071			
712	0.09269	712	0.10457969437842			
711.5	0.09119	711.5	0.10281838474525			
711	0.09219	711	0.104069746414813			
710.5	0.09333	710.5	0.106251745034698			
710	0.09198	710	0.102661422038721			
709.5	0.09215	709.5	0.104917345030069			
709	0.09352	709	0.106190406612976			
708.5	0.09088	708.5	0.104929062983275			
708	0.09203	708	0.104575209729662			
707.5	0.09293	707.5	0.10541137972389			
707	0.09205	707	0.104174918661491			
706.5	0.09309	706.5	0.106494639398073			
706	0.09403	706	0.106028380593334			
705.5	0.09375	705.5	0.105768126299282			
705	0.09307	705	0.108357359959609			
704.5	0.09363	704.5	0.10386996254595			
704	0.09378	704	0.106540932546543			
703.5	0.09479	703.5	0.107212617197615			
703	0.09488	703	0.105684219967682			
702.5	0.09385	702.5	0.10496060019067			
702	0.09554	702	0.106806973484153			
701.5	0.09462	701.5	0.103953145547105			
701	0.09504	701	0.10523503176144			
700.5	0.09546	700.5	0.105403567755086			
700	0.09578	700	0.104330000708864			
699.5	0.09595	699.5	0.105220131154276			
699	0.09638	699	0.106605019623955			
698.5	0.0947	698.5	0.10517195734665			
698	0.09672	698	0.105864763246712			
697.5	0.09601	697.5	0.106731023787445			
697	0.09565	697	0.106959740874101			
696.5	0.09533	696.5	0.104762986313141			
696	0.09652	696	0.106785707569074			
695.5	0.0964	695.5	0.105681181979813			
695	0.09593	695	0.108001192048573			
694.5	0.09691	694.5	0.105268738960169			
694	0.09641	694	0.104985193425794			
693.5	0.09825	693.5	0.105661073393447			
693	0.09734	693	0.105168051362248			
692.5	0.09547	692.5	0.105694780592176			
692	0.09694	692	0.104393798454098			
691.5	0.09659	691.5	0.105435972959015			
691	0.09671	691	0.105674093341454			
