	gcen4	gc3n4 tio2 water				
417.750876	895	304				
417.856419	913	301				
417.961962	976	267				
418.067505	934	311				
418.173047	964	316				
418.278589	989	311				
418.384131	1028	301				
418.489673	1003	301				
418.595215	1067	356				
418.700757	1010	343				
418.806298	1113	304				
418.91184	1032	337				
419.017381	1113	369				
419.122922	1141	331				
419.228463	1164	401				
419.334004	1184	348				
419.439544	1190	347				
419.545085	1225	393				
419.650625	1214	403				
419.756165	1295	404				
419.861705	1269	410				
419.967245	1272	397				
420.072784	1329	409				
420.178324	1352	416				
420.283863	1382	465				
420.389402	1453	413				
420.494941	1437	480				
420.60048	1400	432				
420.706019	1496	468				
420.811557	1494	483				
420.917096	1545	461				
421.022634	1553	486				
421.128172	1632	533				
421.23371	1648	502				
421.339248	1601	515				
421.444786	1669	539				
421.550323	1725	544				
421.65586	1735	523				
421.761398	1785	552				
421.866935	1807	540				
421.972471	1882	564				
422.078008	1846	546				
422.183545	1909	582				
422.289081	1936	666				
422.394617	1927	645				
422.500153	1983	615				
422.605689	2034	631				
422.711225	2053	634				
422.816761	2109	661				
422.922296	2177	692				
423.027831	2188	682				
423.133367	2201	685				
423.238902	2291	702				
423.344436	2372	709				
423.449971	2356	763				
423.555506	2423	687				
423.66104	2500	736				
423.766574	2502	762				
423.872108	2531	725				
423.977642	2529	790				
424.083176	2619	794				
424.188709	2725	752				
424.294243	2706	808				
424.399776	2772	846				
424.505309	2736	871				
424.610842	2838	851				
424.716375	2894	907				
424.821908	2991	924				
424.92744	3047	893				
425.032972	2959	936				
425.138505	3091	921				
425.244037	3103	954				
425.349569	3185	963				
425.4551	3328	927				
425.560632	3255	1008				
425.666163	3380	1004				
425.771694	3478	994				
425.877226	3442	1049				
425.982756	3523	1077				
426.088287	3524	1050				
426.193818	3635	1031				
426.299348	3682	1128				
426.404879	3808	1115				
426.510409	3805	1145				
426.615939	3843	1134				
426.721469	3955	1174				
426.826998	3968	1183				
426.932528	4045	1179				
427.038057	4154	1186				
427.143586	4155	1240				
427.249115	4197	1236				
427.354644	4274	1270				
427.460173	4306	1267				
427.565702	4374	1333				
427.67123	4497	1313				
427.776758	4541	1316				
427.882286	4515	1310				
427.987814	4674	1359				
428.093342	4810	1384				
428.19887	4782	1435				
428.304397	4977	1378				
428.409925	4917	1427				
428.515452	4983	1443				
428.620979	5149	1476				
428.726506	5148	1483				
428.832032	5231	1511				
428.937559	5306	1557				
429.043085	5427	1585				
429.148612	5268	1505				
429.254138	5493	1598				
429.359664	5636	1594				
429.465189	5626	1606				
429.570715	5655	1625				
429.67624	5790	1651				
429.781766	5838	1734				
429.887291	6062	1722				
429.992816	6004	1696				
430.09834	5974	1767				
430.203865	6081	1748				
430.30939	6171	1786				
430.414914	6296	1833				
430.520438	6307	1844				
430.625962	6490	1874				
430.731486	6507	1889				
430.83701	6520	1849				
430.942533	6732	1829				
431.048057	6729	1873				
431.15358	6698	1909				
431.259103	6862	1896				
431.364626	6893	1958				
431.470149	7019	1950				
431.575671	6996	1987				
431.681194	7114	2028				
431.786716	7184	2014				
431.892238	7322	2127				
431.99776	7401	2080				
432.103282	7467	2106				
432.208804	7463	2116				
432.314325	7568	2095				
432.419846	7738	2155				
432.525368	7792	2174				
432.630889	7804	2166				
432.73641	7862	2205				
432.84193	7994	2245				
432.947451	8199	2218				
433.052971	8235	2242				
433.158491	8336	2279				
433.264011	8219	2347				
433.369531	8339	2333				
433.475051	8487	2336				
433.580571	8557	2275				
433.68609	8722	2407				
433.79161	8775	2349				
433.897129	8847	2334				
434.002648	8843	2459				
434.108166	8955	2512				
434.213685	8872	2590				
434.319204	8879	2467				
434.424722	8989	2447				
434.53024	9121	2450				
434.635758	9329	2570				
434.741276	9263	2562				
434.846794	9256	2571				
434.952311	9408	2602				
435.057829	9531	2615				
435.163346	9498	2580				
435.268863	9716	2652				
435.37438	9564	2662				
435.479897	9630	2701				
435.585413	9913	2719				
435.69093	9943	2686				
435.796446	9829	2708				
435.901962	10043	2797				
436.007478	10130	2738				
436.112994	10097	2705				
436.218509	10285	2843				
436.324025	10242	2810				
436.42954	10308	2789				
436.535055	10589	2794				
436.64057	10480	2914				
436.746085	10608	2871				
436.8516	10527	2871				
436.957114	10566	2894				
437.062629	10603	2931				
437.168143	10806	2852				
437.273657	10735	2952				
437.379171	10807	3067				
437.484685	10853	2938				
437.590198	10998	2950				
437.695711	10864	2954				
437.801225	11036	2982				
437.906738	11076	3112				
438.012251	11105	3032				
438.117764	11177	3031				
438.223276	11197	3082				
438.328789	11261	2984				
438.434301	11278	3097				
438.539813	11375	3170				
438.645325	11379	3147				
438.750837	11648	3121				
438.856348	11436	3057				
438.96186	11668	3179				
439.067371	11769	3124				
439.172882	11493	3135				
439.278393	11648	3244				
439.383904	11735	3143				
439.489415	11808	3151				
439.594926	11941	3166				
439.700436	12025	3333				
439.805946	11890	3227				
439.911456	12103	3147				
440.016966	12169	3255				
440.122476	12103	3309				
440.227985	12042	3219				
440.333495	12136	3283				
440.439004	12187	3220				
440.544513	12249	3305				
440.650022	12244	3301				
440.755531	12299	3340				
440.86104	12434	3343				
440.966548	12251	3318				
441.072056	12325	3314				
441.177564	12420	3388				
441.283072	12460	3417				
441.38858	12573	3411				
441.494088	12572	3505				
441.599595	12655	3344				
441.705103	12644	3390				
441.81061	12700	3353				
441.916117	12502	3433				
442.021624	12754	3461				
442.12713	12767	3522				
442.232637	12761	3498				
442.338143	12917	3451				
442.44365	12870	3490				
442.549156	12754	3462				
442.654661	12775	3467				
442.760167	12880	3459				
442.865673	12944	3472				
442.971178	12961	3463				
443.076683	12969	3472				
443.182188	12952	3523				
443.287693	12949	3462				
443.393198	13004	3555				
443.498703	12950	3578				
443.604207	13141	3594				
443.709712	13058	3541				
443.815216	13186	3561				
443.92072	13050	3584				
444.026223	13022	3578				
444.131727	13347	3489				
444.237231	13269	3549				
444.342734	13152	3649				
444.448237	13292	3600				
444.55374	13432	3560				
444.659243	13293	3683				
444.764745	13328	3703				
444.870248	13471	3554				
444.97575	13493	3704				
445.081253	13365	3568				
445.186755	13503	3644				
445.292256	13599	3659				
445.397758	13533	3709				
445.50326	13417	3653				
445.608761	13486	3681				
445.714262	13671	3527				
445.819763	13709	3666				
445.925264	13750	3734				
446.030765	13605	3720				
446.136266	13663	3573				
446.241766	13585	3587				
446.347266	13737	3739				
446.452766	13562	3616				
446.558266	13667	3612				
446.663766	13641	3751				
446.769266	13692	3745				
446.874765	13680	3652				
446.980264	13799	3691				
447.085763	13819	3730				
447.191262	13849	3699				
447.296761	13796	3713				
447.40226	13680	3650				
447.507758	13807	3759				
447.613257	13860	3748				
447.718755	13624	3693				
447.824253	13761	3713				
447.929751	13841	3690				
448.035248	13895	3699				
448.140746	13814	3708				
448.246243	13716	3778				
