	PhCN	PhCN/TiO2-Ethanol	PhCN-TiO2-water			
417.750876	2129	607	1842			
417.856419	2079	610	1871			
417.961962	2149	655	1990			
418.067505	2271	616	1934			
418.173047	2185	660	1929			
418.278589	2127	627	1949			
418.384131	2126	657	1988			
418.489673	2205	666	1924			
418.595215	2148	643	2000			
418.700757	2185	651	1968			
418.806298	2241	639	1987			
418.91184	2183	644	1957			
419.017381	2186	650	1968			
419.122922	2201	667	1961			
419.228463	2244	627	2019			
419.334004	2244	649	2048			
419.439544	2275	650	2003			
419.545085	2233	635	2024			
419.650625	2197	691	2036			
419.756165	2251	638	2125			
419.861705	2297	694	2041			
419.967245	2309	677	2100			
420.072784	2294	668	2091			
420.178324	2336	666	2133			
420.283863	2329	689	2130			
420.389402	2290	666	2213			
420.494941	2366	708	2145			
420.60048	2373	717	2181			
420.706019	2354	669	2150			
420.811557	2407	671	2219			
420.917096	2360	690	2254			
421.022634	2440	695	2216			
421.128172	2396	683	2217			
421.23371	2342	687	2244			
421.339248	2415	695	2273			
421.444786	2461	685	2312			
421.550323	2532	705	2231			
421.65586	2402	700	2282			
421.761398	2448	747	2261			
421.866935	2567	738	2233			
421.972471	2504	706	2357			
422.078008	2478	665	2330			
422.183545	2508	704	2303			
422.289081	2512	718	2324			
422.394617	2534	701	2327			
422.500153	2561	699	2320			
422.605689	2561	710	2292			
422.711225	2580	736	2490			
422.816761	2645	733	2357			
422.922296	2605	729	2312			
423.027831	2694	721	2455			
423.133367	2649	788	2417			
423.238902	2628	773	2515			
423.344436	2621	735	2407			
423.449971	2755	715	2529			
423.555506	2648	777	2541			
423.66104	2747	792	2482			
423.766574	2770	751	2524			
423.872108	2705	767	2522			
423.977642	2762	787	2604			
424.083176	2756	774	2534			
424.188709	2722	819	2481			
424.294243	2771	775	2607			
424.399776	2837	784	2625			
424.505309	2860	782	2580			
424.610842	2926	804	2627			
424.716375	2824	847	2574			
424.821908	2856	766	2550			
424.92744	2883	817	2601			
425.032972	2892	803	2760			
425.138505	3023	767	2685			
425.244037	2885	847	2669			
425.349569	2949	794	2681			
425.4551	2935	816	2702			
425.560632	2942	790	2775			
425.666163	3023	805	2634			
425.771694	3046	819	2677			
425.877226	3052	860	2740			
425.982756	3089	796	2750			
426.088287	3093	844	2818			
426.193818	3078	840	2850			
426.299348	3176	847	2827			
426.404879	3098	800	2792			
426.510409	3246	843	2872			
426.615939	3222	837	2834			
426.721469	3236	841	2860			
426.826998	3171	805	2902			
426.932528	3233	839	2798			
427.038057	3231	868	2844			
427.143586	3250	848	2801			
427.249115	3310	881	2847			
427.354644	3236	848	2886			
427.460173	3235	863	2938			
427.565702	3236	910	2982			
427.67123	3318	836	2930			
427.776758	3265	873	2870			
427.882286	3393	868	2937			
427.987814	3389	845	2971			
428.093342	3407	837	3055			
428.19887	3336	851	2988			
428.304397	3370	934	2992			
428.409925	3491	929	2991			
428.515452	3457	904	3086			
428.620979	3560	902	3079			
428.726506	3580	869	3017			
428.832032	3541	879	3013			
428.937559	3578	883	3085			
429.043085	3642	898	3053			
429.148612	3619	895	3074			
429.254138	3583	883	3150			
429.359664	3660	903	3173			
429.465189	3628	902	3206			
429.570715	3695	909	3162			
429.67624	3701	957	3115			
429.781766	3718	946	3203			
429.887291	3722	938	3218			
429.992816	3747	964	3245			
430.09834	3825	966	3194			
430.203865	3776	924	3282			
430.30939	3848	917	3235			
430.414914	3875	958	3241			
430.520438	3905	960	3306			
430.625962	3869	925	3147			
430.731486	3927	900	3232			
430.83701	3791	956	3312			
430.942533	3951	940	3298			
431.048057	3952	947	3327			
431.15358	3901	949	3363			
431.259103	4060	937	3308			
431.364626	3985	953	3308			
431.470149	4022	1027	3196			
431.575671	4013	952	3341			
431.681194	4093	994	3388			
431.786716	4117	1043	3385			
431.892238	3893	978	3382			
431.99776	4091	997	3391			
