	PhCN		g-C3N4			
906.31	1810	906.31	122			
912.27	1894	912.27	109			
918.23	1899.5	918.23	75			
924.17	1944	924.17	61			
930.11	1889.5	930.11	66			
936.04	1871	936.04	145			
941.97	1815.5	941.97	128			
947.88	1790.5	947.88	93			
953.79	1774	953.79	122			
959.69	1821.5	959.69	152			
965.59	1829	965.59	238			
971.47	1923.5	971.47	313			
977.35	2058	977.35	329			
983.22	2265.5	983.22	313			
989.09	2306	989.09	288			
994.94	2575	994.94	239			
1000.79	3080.5	1000.79	151			
1006.63	2598.5	1006.63	200			
1012.47	2006.5	1012.47	153			
1018.3	1904	1018.3	102			
1024.11	1922	1024.11	167			
1029.93	1848	1029.93	152			
1035.73	1782.5	1035.73	141			
1041.53	1720	1041.53	104			
1047.32	1694	1047.32	106			
1053.1	1669	1053.1	97			
1058.88	1738	1058.88	149			
1064.65	1731.5	1064.65	90			
1070.41	1724	1070.41	104			
1076.16	1682	1076.16	155			
1081.91	1679	1081.91	217			
1087.65	1695.5	1087.65	164			
1093.38	1662.5	1093.38	128			
1099.11	1695	1099.11	130			
1104.83	1685	1104.83	189			
1110.54	1727.5	1110.54	276			
1116.24	1716	1116.24	317			
1121.94	1729	1121.94	310			
1127.63	1813.5	1127.63	273			
1133.31	1809.5	1133.31	376			
1138.98	1870.5	1138.98	301			
1144.65	1878	1144.65	383			
1150.31	2049	1150.31	439			
1155.97	2097.5	1155.97	445			
1161.61	2072	1161.61	364			
1167.25	1973	1167.25	403			
1172.89	1940	1172.89	381			
1178.51	1847.5	1178.51	312			
1184.13	1861.5	1184.13	332			
1189.74	1720.5	1189.74	380			
1195.35	1728.5	1195.35	484			
1200.95	1711	1200.95	489			
1206.54	1728.5	1206.54	597			
1212.12	1709	1212.12	703			
1217.7	1789.5	1217.7	752			
1223.27	1813	1223.27	932			
1228.83	1887.5	1228.83	1110			
1234.39	1891	1234.39	1136			
1239.94	1938	1239.94	963			
1245.48	1937	1245.48	740			
1251.01	1975.5	1251.01	645			
1256.54	1970	1256.54	542			
1262.07	1964.5	1262.07	481			
1267.58	1963	1267.58	497			
1273.09	1965	1273.09	426			
1278.59	1977	1278.59	422			
1284.09	1958	1284.09	333			
1289.57	1943.5	1289.57	327			
1295.05	1959.5	1295.05	327			
1300.53	1922.5	1300.53	339			
1306	2062.5	1306	450			
1311.46	2116	1311.46	495			
1316.91	2121	1316.91	391			
1322.36	2089.5	1322.36	345			
1327.8	2158.5	1327.8	282			
1333.23	2154	1333.23	306			
1338.66	2143	1338.66	277			
1344.08	2030.5	1344.08	281			
1349.5	2012	1349.5	286			
1354.9	2026.5	1354.9	352			
1360.3	2020.5	1360.3	284			
1365.7	2006	1365.7	257			
1371.09	2054	1371.09	155			
1376.47	2129.5	1376.47	188			
1381.84	2183	1381.84	158			
1387.21	2198.5	1387.21	224			
1392.57	2122.5	1392.57	149			
1397.93	2000	1397.93	223			
1403.27	1911.5	1403.27	326			
1408.62	1827	1408.62	305			
1413.95	1785.5	1413.95	332			
1419.28	1749.5	1419.28	307			
1424.6	1771.5	1424.6	265			
1429.92	1737.5	1429.92	297			
1435.23	1804.5	1435.23	260			
1440.53	1770.5	1440.53	308			
1445.82	1795.5	1445.82	262			
1451.11	1731.5	1451.11	341			
1456.4	1764	1456.4	324			
1461.67	1726.5	1461.67	346			
1466.94	1680.5	1466.94	371			
1472.21	1630.5	1472.21	341			
1477.47	1673.5	1477.47	329			
1482.72	1731.5	1482.72	369			
1487.96	1986	1487.96	362			
1493.2	2241	1493.2	338			
1498.43	2183	1498.43	291			
1503.66	1918.5	1503.66	302			
1508.88	1764.5	1508.88	286			
1514.09	1668	1514.09	298			
1519.3	1614	1519.3	321			
1524.5	1594	1524.5	271			
1529.69	1615.5	1529.69	332			
1534.88	1523	1534.88	301			
1540.06	1574.5	1540.06	344			
1545.24	1540	1545.24	395			
1550.41	1548.5	1550.41	402			
1555.57	1580.5	1555.57	387			
1560.73	1634.5	1560.73	411			
1565.88	1665	1565.88	436			
1571.02	1715	1571.02	342			
1576.16	1880.5	1576.16	359			
1581.29	2170.5	1581.29	310			
1586.42	2600	1586.42	300			
1591.54	3193	1591.54	279			
1596.65	3526	1596.65	253			
1601.76	3112.5	1601.76	241			
1606.86	2414.5	1606.86	285			
1611.95	1897.5	1611.95	285			
1617.04	1599	1617.04	306			
1622.12	1535.5	1622.12	268			
1627.2	1401	1627.2	288			
1632.27	1386	1632.27	244			
1637.34	1334	1637.34	259			
1642.39	1278.5	1642.39	232			
1647.45	1212	1647.45	233			
1652.49	1246.5	1652.49	216			
1657.53	1223	1657.53	135			
1662.57	1184	1662.57	183			
1667.6	1189	1667.6	129			
1672.62	1187.5	1672.62	156			
1677.63	1105	1677.63	72			
1682.64	1130.5	1682.64	158			
1687.65	1112.5	1687.65	102			
1692.65	1104.5	1692.65	127			
1697.64	1027	1697.64	115			
1702.63	1030.5	1702.63	31			
1707.61	1019.5	1707.61	60			
1712.58	1032.5	1712.58	84			
1717.55	1046.5	1717.55	90			
1722.51	1047	1722.51	70			
1727.47	1008.5	1727.47	37			
1732.42	946.5	1732.42	103			
1737.37	943	1737.37	15			
1742.3	953.5	1742.3	70			
1747.24	984.5	1747.24	75			
1752.16	950	1752.16	34			
1757.09	940	1757.09	-16			
1762	989.5	1762	67			
1766.91	956	1766.91	5			
1771.82	924.5	1771.82	32			
1776.71	950.5	1776.71	20			
1781.61	941	1781.61	42			
1786.49	928	1786.49	31			
1791.38	942	1791.38	69			
1796.25	916	1796.25	27			
