	gC3N4		g-C3N4 hyb		PhCN		PhCN/Rutile		PhCN/anatase
0.5188292	19	0.5030343	14	0.5148802	6	0.5069827	3	0.5148802	1
0.5208038	12	0.5050085	14	0.5168547	4	0.5089571	1	0.5168547	5
0.5227784	8	0.5069827	9	0.5188292	10	0.5109314	3	0.5188292	5
0.524753	16	0.5089571	13	0.5208038	3	0.5129058	4	0.5208038	3
0.5267277	17	0.5109314	14	0.5227784	6	0.5148802	2	0.5227784	5
0.5287024	5	0.5129058	6	0.524753	8	0.5168547	8	0.524753	4
0.5306772	23	0.5148802	9	0.5267277	5	0.5188292	8	0.5267277	7
0.532652	31	0.5168547	6	0.5287024	9	0.5208038	4	0.5287024	3
0.5346268	49	0.5188292	16	0.5306772	7	0.5227784	4	0.5306772	14
0.5366017	53	0.5208038	8	0.532652	17	0.524753	2	0.532652	10
0.5385767	70	0.5227784	13	0.5346268	28	0.5267277	8	0.5346268	16
0.5405516	82	0.524753	11	0.5366017	21	0.5287024	9	0.5366017	23
0.5425266	113	0.5267277	15	0.5385767	36	0.5306772	14	0.5385767	20
0.5445017	290	0.5287024	19	0.5405516	53	0.532652	15	0.5405516	45
0.5464767	808	0.5306772	27	0.5425266	116	0.5346268	12	0.5425266	74
0.5484518	2360	0.532652	37	0.5445017	252	0.5366017	25	0.5445017	210
0.550427	5354	0.5346268	43	0.5464767	677	0.5385767	20	0.5464767	558
0.5524022	9249	0.5366017	55	0.5484518	1514	0.5405516	33	0.5484518	1311
0.5543774	13034	0.5385767	75	0.550427	2717	0.5425266	71	0.550427	2404
0.5563527	14671	0.5405516	97	0.5524022	4167	0.5445017	244	0.5524022	3586
0.558328	14592	0.5425266	152	0.5543774	5454	0.5464767	549	0.5543774	4359
0.5603033	12739	0.5445017	388	0.5563527	5998	0.5484518	1334	0.5563527	4488
0.5622787	10105	0.5464767	1371	0.558328	5704	0.550427	2513	0.558328	4050
0.5642542	7991	0.5484518	3431	0.5603033	5111	0.5524022	3766	0.5603033	3193
0.5662296	6170	0.550427	6631	0.5622787	4345	0.5543774	4640	0.5622787	2556
0.5682051	4839	0.5524022	10600	0.5642542	3655	0.5563527	4630	0.5642542	1937
0.5701806	3453	0.5543774	13422	0.5662296	3042	0.558328	4125	0.5662296	1447
0.5721561	2577	0.5563527	14529	0.5682051	2648	0.5603033	3327	0.5682051	1072
0.5741317	1867	0.558328	13567	0.5701806	2158	0.5622787	2680	0.5701806	796
0.5761073	1386	0.5603033	11733	0.5721561	1829	0.5642542	2181	0.5721561	619
