	PhCN-TiO2-Ethanol	PhCN-TiO2-water	g-C3N4-TiO2-water
10.0001	7927	9427	3307
10.0502	7729	9760	3216
10.1003	7406	8698	3229
10.1504	7750	8656	3444
10.2005	7948	9458	3255
10.2506	7458	9448	3477
10.3008	7677	9323	3340
10.3509	7573	8896	3880
10.401	7438	9177	3613
10.4511	7667	8813	3398
10.5012	7458	9208	3242
10.5513	7292	9396	3288
10.6014	7313	9281	3001
10.6515	7094	9198	3496
10.7016	7344	9208	3132
10.7517	6802	8969	3184
10.8018	7104	9521	3092
10.852	7125	8448	2943
10.9021	7135	9010	3105
10.9522	6958	8698	3197
11.0023	7219	8990	3125
11.0524	7177	9385	3281
11.1025	6615	8885	3203
11.1526	7219	9021	3522
11.2027	7208	8688	3021
11.2528	6896	8427	3171
11.3029	6677	9219	2760
11.353	7354	8656	3197
11.4032	6438	8521	2897
11.4533	6938	8771	3210
11.5034	7031	8385	2904
11.5535	6479	8208	2910
11.6036	6875	8260	3027
11.6537	6146	8833	3079
11.7038	6365	8656	2747
11.7539	7000	7979	3190
11.804	7281	8198	3008
11.8541	6844	8031	3001
11.9042	6875	8063	3060
11.9543	6885	8854	3027
12.0045	6844	8531	3060
12.0546	6500	8542	2630
12.1047	6990	8740	2904
12.1548	6438	7771	3079
12.2049	6698	8563	2858
12.255	6198	8438	2943
12.3051	6563	8615	3034
12.3552	6198	8802	2930
12.4053	6615	8271	3008
12.4554	6281	7875	3027
12.5055	6542	8073	3079
12.5557	6406	8010	3268
12.6058	6875	7740	2988
12.6559	6250	7844	2936
12.706	6260	8031	2956
12.7561	6396	7594	2832
12.8062	6125	8198	2812
12.8563	6292	7990	2956
12.9064	6052	8271	2988
12.9565	6021	8219	2852
13.0066	6531	7573	3034
13.0567	6063	8208	2793
13.1069	6552	7708	3190
13.157	6000	8104	2819
13.2071	5688	8156	2845
13.2572	6260	7969	2715
13.3073	6646	7427	2975
13.3574	5771	7583	2956
13.4075	5896	7135	2858
13.4576	6438	7896	2871
13.5077	5854	7667	2708
13.5578	5417	7208	2949
13.6079	5865	7583	2728
13.6581	5969	7417	2617
13.7082	5417	7354	2656
13.7583	5729	7563	2871
13.8084	5500	7333	2702
13.8585	5427	7240	2630
13.9086	5438	7615	2441
13.9587	5427	7156	2415
14.0088	5760	7635	2598
14.0589	5615	6865	2480
14.109	5313	6833	2565
14.1591	5156	7219	2526
14.2093	5042	6885	2552
14.2594	5083	6896	2135
14.3095	5250	6635	2513
14.3596	5552	7260	2122
14.4097	4979	6375	2318
14.4598	5521	6896	2266
14.5099	4708	6833	2253
14.56	5333	6865	2220
14.6101	4948	6771	2513
14.6602	4677	6917	2155
14.7103	4885	6896	2057
14.7605	4802	6615	2122
14.8106	5083	6865	2298
14.8607	4635	6958	2135
14.9108	4802	6510	2181
14.9609	4729	6563	1979
15.011	4969	6260	2044
15.0611	4552	6292	2292
15.1112	4750	6458	2109
15.1613	4760	6688	2233
15.2114	4844	6417	2227
15.2615	4573	6323	2187
15.3116	4750	6344	2109
15.3618	4188	6271	1940
15.4119	4146	6083	2155
15.462	4646	6323	1999
15.5121	4615	5906	2155
15.5622	4208	5896	2174
15.6123	4365	5990	1921
15.6624	4323	5927	1927
15.7125	4427	5750	2025
15.7626	4240	5885	2103
15.8127	4198	5792	1921
15.8628	4365	5885	1751
15.913	4052	5667	2070
15.9631	4135	5521	1842
16.0132	4583	5719	1810
16.0633	4229	5646	1660
16.1134	4083	5625	1862
16.1635	3917	5500	1803
16.2136	4219	5885	1621
16.2637	3656	5656	1517
16.3138	4094	5969	1660
16.3639	3552	5344	1615
16.414	4229	5719	1862
16.4642	3844	5396	1849
16.5143	3802	5552	1680
16.5644	3844	5510	1953
16.6145	3667	5406	1842
16.6646	3750	5542	1673
16.7147	3917	5708	1484
16.7648	3500	5219	1712
16.8149	3458	5781	1745
16.865	3646	4844	1673
16.9151	3688	5281	1803
16.9652	3948	5063	1738
17.0154	3375	5281	1654
17.0655	3438	5333	1823
17.1156	3583	5177	1686
17.1657	3542	5094	1719
17.2158	3125	4708	1673
17.2659	3406	4917	1654
17.316	3063	4875	1686
17.3661	3271	4958	1615
17.4162	3271	5083	1947
17.4663	3396	5000	1986
17.5164	3469	5438	2044
17.5666	3438	4542	1927
17.6167	2958	4656	1699
17.6668	3396	5021	1667
17.7169	3177	4563	1725
17.767	3417	4865	1608
17.8171	3292	4948	1660
17.8672	3219	4979	1491
17.9173	3302	4635	1738
17.9674	2948	4406	1810
18.0175	3583	5177	1706
18.0676	3198	4688	1654
18.1177	2635	4552	1641
18.1679	3073	4698	1354
18.218	3250	4604	1725
18.2681	3125	4688	1699
18.3182	3240	5063	1491
18.3683	3135	4479	1510
18.4184	2750	4625	1693
18.4685	2344	4156	1556
18.5186	3010	4594	1465
18.5687	3125	4844	1725
18.6188	2646	4646	1432
18.6689	2844	4719	1478
18.7191	2969	4438	1673
18.7692	2552	4323	1484
18.8193	2938	4833	1289
18.8694	3000	4375	1562
18.9195	2958	4490	1549
18.9696	2688	4531	1439
19.0197	2615	4438	1556
19.0698	3010	4271	1576
19.1199	2479	4135	1549
19.17	2906	4115	1667
19.2201	2781	4073	1504
19.2703	2958	4240	1517
19.3204	3063	4490	1686
19.3705	2823	4323	1549
19.4206	2729	4271	1484
19.4707	2990	4010	1504
19.5208	2906	3885	1673
19.5709	2417	3927	1615
19.621	2948	3948	1680
19.6711	2750	4115	1699
